"","text","favoriteCount","created","truncated","id","statusSource","screenName","retweetCount","isRetweet"
"22","Watch now: Hillary on why America—and the world—can't afford Trump as Commander-in-Chief  https://t.co/U4YoA58DhR https://t.co/icQmlfrRgz",2022,2016-06-02 19:02:38,FALSE,"738445736984125440","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",966,FALSE
"23","Trump isn’t just incoherent; he’s dangerous. He’s not just unprepared; he’s temperamentally unfit to be Commander-in-Chief.",7982,2016-06-02 19:06:41,FALSE,"738446756980068352","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",3822,FALSE
"24","We cannot put the security of our children and grandchildren in Donald Trump’s hands. We cannot let him roll the dice with America.",4490,2016-06-02 19:10:12,FALSE,"738447641370107905","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",1890,FALSE
"25","We’re not a country that cowers behind walls. We lead with purpose, and we prevail. https://t.co/KxKmbO3vL5",7804,2016-06-02 19:13:28,FALSE,"738448464007311365","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",3224,FALSE
"26","America’s network of allies is part of what makes us exceptional. And our allies deliver for us every day.",2457,2016-06-02 19:16:29,FALSE,"738449225692946432","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",988,FALSE
"27","The tools Donald Trump brings to the table—bragging, mocking, composing nasty tweets—won’t do the trick.",4571,2016-06-02 19:22:01,FALSE,"738450617849524224","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",1985,FALSE
"28","Imagine if he had not just his Twitter account at his disposal when he’s angry, but America’s entire arsenal. https://t.co/e7M2CV3sj6",13904,2016-06-02 19:34:31,FALSE,"738453762575110144","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",10659,FALSE
"29","Don’t let anyone tell you that America isn’t great. Donald Trump’s got America all wrong.",5533,2016-06-02 19:37:50,FALSE,"738454595492577280","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",2396,FALSE
"30","Donald Trump is not someone who should ever have the nuclear codes.
https://t.co/2NLg1HbUx3",5192,2016-06-02 20:46:36,FALSE,"738471902235131904","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",2672,FALSE
"31","What happens to the moral example we set—for the world and for our own children—if our president engages in bigotry?
https://t.co/EkShquTR42",4235,2016-06-02 21:31:26,FALSE,"738483185240023040","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",2196,FALSE
